phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
286,4.991641661,379,31.58333333,104.466558,-364.3181827,8.705546497,-30.35984856
287,5.009094953,379,31.58333333,110.808876,-362.4395025,9.234073001,-30.20329188
288,5.026548246,379,31.58333333,117.117441,-360.4504196,9.759786747,-30.03753497
289,5.044001538,379,31.58333333,123.3903304,-358.3515402,10.28252754,-29.86262835
290,5.061454831,379,31.58333333,129.6256344,-356.1435032,10.8021362,-29.67862527
291,5.078908123,379,31.58333333,135.8214528,-353.8269817,11.3184544,-29.48558181
292,5.096361416,379,31.58333333,141.975899,-351.4026809,11.83132491,-29.28355674
293,5.113814708,379,31.58333333,148.0870976,-348.8713395,12.34059146,-29.07261163
294,5.131268001,379,31.58333333,154.1531878,-346.2337284,12.84609898,-28.8528107
295,5.148721293,379,31.58333333,160.1723211,-343.4906513,13.34769342,-28.62422095
296,5.166174586,379,31.58333333,166.1426647,-340.6429435,13.84522206,-28.38691196
297,5.183627878,379,31.58333333,172.0623993,-337.6914727,14.33853327,-28.14095606
298,5.201081171,379,31.58333333,177.9297223,-334.6371377,14.82747686,-27.88642814
299,5.218534463,379,31.58333333,183.7428459,-331.4808691,15.31190383,-27.62340576
300,5.235987756,379,31.58333333,189.5,-328.223628,15.79166667,-27.351969
301,5.253441049,379,31.58333333,195.1994306,-324.8664069,16.26661921,-27.07220057
302,5.270894341,379,31.58333333,200.8394011,-321.4102284,16.73661676,-26.7841857
303,5.288347634,379,31.58333333,206.4181944,-317.8561452,17.2015162,-26.4880121
304,5.305800926,379,31.58333333,211.9341104,-314.20524,17.66117587,-26.18377
305,5.323254219,379,31.58333333,217.3854695,-310.4586247,18.11545579,-25.87155206
306,5.340707511,379,31.58333333,222.7706106,-306.6174409,18.56421755,-25.55145341
307,5.358160804,379,31.58333333,228.0878939,-302.6828582,19.00732449,-25.22357152
308,5.375614096,379,31.58333333,233.3356991,-298.6560757,19.44464159,-24.8880063
309,5.393067389,379,31.58333333,238.5124283,-294.5383193,19.87603569,-24.54485994
310,5.410520681,379,31.58333333,243.616504,-290.330844,20.30137533,-24.194237
311,5.427973974,379,31.58333333,248.6463721,-286.0349308,20.72053101,-23.83624424
312,5.445427266,379,31.58333333,253.6004997,-281.6518889,21.13337498,-23.47099074
313,5.462880559,379,31.58333333,258.4773785,-277.1830528,21.53978154,-23.09858774
314,5.480333851,379,31.58333333,263.2755223,-272.6297844,21.93962686,-22.7191487
315,5.497787144,379,31.58333333,267.9934701,-267.99347,22.33278918,-22.33278917
316,5.515240436,379,31.58333333,272.6297842,-263.2755225,22.71914869,-21.93962687
317,5.532693729,379,31.58333333,277.183053,-258.4773784,23.09858775,-21.53978153
318,5.550147021,379,31.58333333,281.6518888,-253.6004999,23.47099073,-21.13337499
319,5.567600314,379,31.58333333,286.0349309,-248.6463719,23.83624424,-20.720531
320,5.585053606,379,31.58333333,290.3308438,-243.6165042,24.19423699,-20.30137535
321,5.602506899,379,31.58333333,294.5383194,-238.5124282,24.54485995,-19.87603568
322,5.619960191,379,31.58333333,298.6560755,-233.3356993,24.88800629,-19.44464161
323,5.637413484,379,31.58333333,302.6828583,-228.0878938,25.22357153,-19.00732448
