x (ft),y (ft)
27.59318898,67.39135171
27.70860892,67.32472113
28.47625984,67.92803806
29.14371719,68.61363189
29.55711286,68.37495735
30.12573163,69.14300197
30.723271,68.79800853
30.84278215,68.72901247
31.20130906,68.52201115
31.7358563,69.33581365
31.97772638,69.19617454
31.97772638,69.19617454
32.21959974,69.05652559
32.40100394,68.95179134
32.52193898,68.8819685
33.0056857,68.60268045
33.24755577,68.46304134
33.42895997,68.35829724
33.73130249,68.18375328
34.21504265,67.9044521
34.21504265,67.9044521
34.33598097,67.83463583
34.63832021,67.66008202
34.81972769,67.55534777
35.30346785,67.27605971
35.54534121,67.13641404
36.02908465,66.85711942
36.27095801,66.71747703
36.57329724,66.54291995
37.30166339,67.27197507
39.53290682,69.60553478
39.59641076,69.56887139
39.85042323,69.42222113
39.91392388,69.38555774
40.6574836,70.22499672
41.10765092,69.96509514
41.42919948,69.77944226
41.75074803,69.59380249
42.32953084,69.25964567
42.58676837,69.11112533
42.90831693,68.925479
43.6157185,68.51705709
43.6157185,68.51705709
44.06588583,68.25715551
44.13019685,68.22002953
44.64467192,67.92299869
45.22345472,67.58883202
45.6093143,67.36605971
47.21762795,69.07396654
48.15394029,69.90385827
48.82251969,69.51785761
48.95623688,69.44064961
49.08995079,69.36344816
50.26711286,70.09097113
51.13285433,71.0364731
52.37056759,71.80712598
54.16343176,73.86823819
55.42520997,74.75450131
55.6430479,74.62872703
56.00610892,74.41911089
57.38673885,75.28375
58.58386811,76.30341207
58.65862861,76.26025262
58.95766076,76.08761155
50.51884843,63.26280512
51.13992454,64.17295604
52.69447835,65.91189961
52.69447835,65.91189961
52.95842848,65.75951115
53.42032808,65.49283136
53.75026575,65.30234908
54.90658465,66.00521982
55.89059055,66.84425853
57.03864173,67.62676181
57.17598425,67.54746391
57.17598425,67.54746391
66.76749016,78.95920276
69.20645013,81.60010499
70.35482612,80.93708661
70.76495735,80.70029528
71.33913714,80.36878937
71.74927493,80.13199475
72.07738517,79.94256234
72.07738517,79.94256234
68.8117126,75.84831037
67.86645669,74.52216207
68.32865486,74.25531496
68.32865486,74.25531496
68.71382874,74.03293635
69.25305774,73.72161417
70.45440945,74.89990486
71.77292979,76.06930118
73.05278543,77.32261155
74.45615814,78.56917979
75.90586614,79.85695866
77.31925853,81.23668307
79.38432415,82.31495407
79.47054462,82.26518045
79.98785761,81.96650591
80.41895013,81.71761811
80.7638189,81.51849738
80.7638189,81.51849738
60.29824147,57.61666667
61.8080315,59.31499344
61.93830709,59.23978346
62.0685794,59.16457021
62.52454068,58.90132218
62.5896752,58.86372047
62.5896752,58.86372047
62.98049541,58.63808071
63.04563976,58.60046588
63.3713189,58.41243438
62.90854987,57.37833333
61.82920932,55.49558399
61.89191601,55.45937664
61.71205381,54.35633858
61.9598458,54.21327428
62.20763123,54.07020997
62.33152887,53.99867782
62.33152887,53.99867782
62.82711942,53.71255249
63.07490486,53.56948819
63.32269685,53.42642388
63.57049541,53.28335958
63.75633202,53.17606627
64.00413058,53.03300197
64.49971457,52.74687664
64.6236122,52.67534449
66.33098425,54.1336647
66.33098425,54.1336647
66.58499016,53.98700787
66.77549869,53.87701772
67.86038058,54.51940289
68.18192585,54.33375328
68.24623688,54.29662073
70.37877953,55.70187008
72.35450131,57.33881234
72.55776247,57.22146654
72.62551509,57.18234252
73.65724738,58.03200787
76.99927165,60.68395997
78.29819554,61.54876969
83.27310039,65.62714239
83.50419291,65.49372047
100.6125164,79.9710794
100.6125164,79.9710794
89.38500984,69.95000984
89.38500984,69.95000984
92.74820538,72.32876969
94.55877297,73.55397638
98.10370735,76.28862533
106.0968799,82.32526575
